Gene,log2FoldChange,padj
Spryd3,5.836700519,0.012221558
Gm6702,6.614188305,0.001354476
Slf1,5.565187133,0.041783108
Gm42459,5.615134063,0.041956957
Hypk,-29.95293841,2.15E-11
Gm7498,-5.642328305,0.018172622
Rsrp1,5.091921328,0.010147931
Gm2223,6.352392191,0.001672183
Rps19-ps5,-5.570661321,0.003089586
Ddost,4.216410382,0.048779385
Gm15422,5.639241778,0.006040071
Supt5,-5.187835239,0.038417955
Gm10552,6.449658567,0.007324005
Reep5,4.969397196,0.017421692
Ilvbl,-7.578738516,9.10E-05
Dad1,-7.32038259,0.004050322
Gm4032,-6.794745928,0.0031075
Spata5l1,5.054754256,0.024482823
Gm7712,5.109299405,0.026344172
Plxnd1,3.979594124,0.047390257
Cltb,5.614608025,0.016160756
Gm29739,7.099123973,9.58E-05
Nelfe,-4.643796412,0.020693065
Atf7ip,-7.205338916,0.000194023
Fam160a1,-22.86808746,1.44E-06
Fam160a2,4.79055378,0.028236858
Ercc1,-7.040122289,4.12E-06
Mtf2,-5.365924625,0.037239496
Ptpn23,38.01884903,3.25E-18
Mir7054,-5.625025706,0.006921391
Pold4,-4.108331433,0.037654274
Hdac7,8.66610753,0.033347692
Mark4,23.21511996,9.34E-07
Akirin1,5.671984515,0.022059356
Ctdspl2,9.12347261,2.83E-06
Gsta4,-5.69031199,0.004304736
Gm10146,-6.173569246,0.006306684
Abhd16b,-5.029952268,0.046205773
Sdhaf2,-5.849669176,0.012110022
Dpy19l3,5.944904429,0.002353537
BC031181,-4.260921287,0.020849887
Gm2075,-6.726262745,0.012541993
Rpl18a-ps4,5.73623462,0.016583333
Gm2404,5.343051495,0.0108737
Gm13810,-23.35143085,7.69E-07
Ddx21,7.641276917,3.90E-05
Cd300ld2,5.237709153,0.025576278
Sirt7,5.675370984,0.006921391
Gm37784,-6.735881816,0.001206899
Ptpn1,-4.790054189,0.011354477
Gm8355,6.911091958,0.003522938
Gm13305,-22.47574378,1.22E-12
P2rx7,-5.262846748,0.001961086
Cerk,25.98987402,1.46E-10
Bak1,19.69611198,9.09E-05
Gm5735,-5.981365379,0.005424287
Gm12587,4.959920236,0.030472089
Rgcc,-4.66764743,0.035075373
Rmrp,5.055984706,0.040088994
Oas1a,-5.388822192,0.017697251
Tax1bp3,22.1051195,2.83E-06
Gm11945,-4.667705856,0.046494349
Taf6l,-4.042078509,0.025436533
Gm8177,7.482044766,5.23E-05
Gm7786,4.86232167,0.024619295
Tmem108,-6.79868825,0.000477848
Gabbr1,-25.13339172,6.41E-08
Gm7709,-6.329291336,0.006443147
Fastkd1,5.666445618,0.007256736
Arid4b,-22.18769313,2.91E-06
Gm49866,-5.466305288,0.006822239
Procr,-4.634055433,0.016653426
Gm16072,-4.900670016,0.001122714
Dmac2,-5.654641566,0.024204727
Gm18169,6.643961954,2.61E-06
Gm42843,-5.166431848,0.028585474
1700026F02Rik,-6.022455363,0.006353445
Pak1ip1,5.497771767,0.017140036
Gm13123,4.332122329,0.049266718
Gm26415,8.517752686,0.010303118
Xbp1,7.076968019,0.000563856
Gm4602,-4.815075722,0.031629731
Mzt2,4.016418279,0.047075954
Syngr2,-4.399441246,0.049125501
Usp16,-21.63539356,7.38E-06
Gm2436,-5.613207361,0.028585474
Tgfbi,-4.587023398,0.033678437
Cox15,-6.939890862,0.000136471
Snhg6,-5.026673932,0.047539613
Fzd2,-7.832094916,1.64E-05
Pnpla2,5.762735845,0.008228609
Tnfrsf4,5.925097275,0.000817361
Pprc1,-39.90846699,8.25E-20
Porcn,-4.615984825,0.039091437
Scn1b,-5.768526313,0.010570647
Itga7,-4.537422321,0.008483934
Gm9825,-5.87713814,0.020849887
Ghdc,25.74248849,2.60E-08
Gm9598,-4.67128152,0.020862682
Cldn23,5.696561986,0.012360363
Arl8b,6.169182278,0.003076621
Gm8399,-5.029079668,0.004580401
Pam,26.50582791,8.44E-09
Gm14295,5.041446451,0.015825528
Gm35883,-5.051819877,0.016281608
Dtd2,6.537040667,0.005303487
Gm41073,4.682830234,0.025865798
Syne4,7.152213061,0.000133814
Gm23084,4.108394071,0.024634391
Nup37,-23.2079718,3.86E-08
AC124169.1,-5.089066496,0.011181592
Igkv8-28,-7.604399398,0.000830067
Gm43765,4.75921376,0.033678437
Gm6345,4.860466751,0.039091437
Gm14006,4.262471793,0.018074347
Dusp27,-6.98955756,0.000207645
Atp1b1,-5.776640472,0.02143651
Pip5k1a,7.010109467,0.002003755
Nr2c2ap,-38.84904976,6.13E-19
Gm37465,-5.577054451,0.029220949
Scyl1,-31.18120025,2.21E-12
Gm47275,25.4127721,4.13E-08
Gm44313,4.901274127,0.034383095
Grcc10,-6.149364524,0.004854069
Pole,4.594963646,0.041643422
Dctn5,7.002984336,0.000808091
Snd1,4.834467143,0.033678437
Gm42879,6.428015352,0.002435975
Zfp830,6.523467384,0.001690673
Hspa4,4.465524507,0.047620739
Gm7854,5.013658454,0.047631572
Gm47797,5.966642173,0.007324005
Dapk3,-8.235954644,0.002420551
Timm10b,23.11022712,1.06E-06
2300009A05Rik,-5.475001073,0.048082266
Gm12267,6.354619542,0.003442049
Gstcd,-6.144295964,9.10E-05
Mir26b,25.46581673,3.86E-08
Rpl35a-ps4,-7.176076285,2.07E-05
Lgmn,-5.965563364,0.027179559
Vamp7-ps,-4.658262849,0.026980533
Gm4883,-6.65043809,0.014267143
Pdcd2,4.742417262,0.029990258
Ercc5,6.786397857,0.00931266
Gm42427,9.577672447,2.74E-09
Ing1,5.399579591,0.017556132
Mapk1ip1l,4.785961316,0.04783614
St7l,-22.70084879,1.81E-06
AC163620.1,4.662540478,0.03754115
Top1mt,4.76374669,0.014065093
Gm30155,5.628954063,0.012254547
Hid1,-5.029356487,0.025860812
Gm9836,6.541004916,0.009725747
Cnot6l,-20.54666454,3.05E-05
Pdia4,5.549558718,0.034338622
Pfkp,-24.64298892,1.22E-07
Pfkl,-5.615969924,0.023282119
Scrn2,5.618794151,0.016289931
Micu1,-6.037694505,0.01862811
Gm37412,7.712543932,0.000563856
Myo10,5.057106554,0.045667195
Akt1,-31.16326904,3.91E-18
Mrpl28,-6.13599084,0.007324005
1700124L16Rik,5.163960904,0.018456352
Gvin1,6.257690645,0.002428056
Gm13735,-4.792307281,0.047187165
Pex16,-5.380033723,0.017140036
Gm49767,4.283063352,0.049266718
Gm9167,-5.826940181,0.007256736
Gm9162,-4.99925326,0.035739987
Nop53,-4.994904148,0.023282119
Gm45424,-8.494462428,2.36E-05
Izumo4,-26.55222422,8.14E-09
Pcgf5,24.17381007,2.46E-07
Slc16a10,4.39665525,0.048082266
A030014E15Rik,-5.864544975,0.02408655
Gm43288,6.310190668,0.013644103
Rps12-ps3,-5.536085783,0.013767831
Gm5446,-5.703076436,0.017421692
Gm44560,-22.29370496,2.96E-06
Hinfp,4.897940796,0.024449521
Rhot2,22.39262197,2.76E-06
Ptges2,-6.041333924,0.001060786
Zfp775,5.823009112,0.013644103
Chst12,7.328289173,0.000268745
Tsr2,10.80066398,0.044867913
Prelid1,-16.97447498,0.000488608
Gm13910,-7.799197085,0.000577468
Apoc1,-4.950462635,0.010415731
Rsc1a1,-6.606741106,0.003258401
Svil,5.737333387,0.015887431
Klk8,5.558448353,0.021655978
Gm50042,5.999169007,0.002218735
Mlip,-19.73769894,8.58E-05
Gm18609,-6.58409348,0.002393624
Ndufaf8,4.651555688,0.016824437
Nt5dc2,5.149264054,0.02039142
Sspn,5.069342473,0.028069017
Nudt13,-10.28344793,0.000219463
Alkbh5,6.661646225,0.00180369
Rpia,-6.021823577,0.003817005
Metrnl,5.439672212,0.008227665
Tspyl4,5.679578475,0.003070798
Gm12303,6.721828979,0.003012118
Gm8250,-6.113342037,0.000304239
Tmem33,6.058834605,0.006040071
F2rl3,5.596838009,0.017678213
Gm42522,4.907625849,0.044867913
Smpdl3a,-4.693541754,0.022182176
Rps17,-7.312234726,4.39E-06
Aff4,-23.03128814,1.17E-06
Brd2,-5.803210611,0.005969174
Gm44170,-19.89242674,7.00E-05
Cxcl2,7.692320459,0.000966264
Noa1,-7.723027048,4.31E-05
Gm43245,-4.465202797,0.037688446
Ebag9,-5.601968512,0.002103145
Col4a3bp,-5.644990375,0.038948405
Arrdc2,21.50780752,8.76E-06
Kcnh2,22.2971745,2.96E-06
Ptk2b,-4.184891599,0.037033662
Frat2,-5.598281823,0.013531909
Gm12757,-5.782684914,0.002420551
Gm37268,-6.646770316,0.006085037
Tnpo1,5.447040011,0.01739209
Itpr1,4.387380648,0.029032571
Gm18042,4.87682885,0.047631572
Gm21168,-6.056963878,0.006065488
Tspan13,5.511776909,0.010799025
Sf3b5,-4.604660286,0.008887692
Sf3b3,7.528330644,4.13E-05
AC139553.1,-4.435339498,0.044259835
Piezo1,21.30978709,1.14E-05
Gm13240,4.8414826,0.026063989
A230052G05Rik,4.966734273,0.048415944
Rad9b,6.052030429,0.000115538
Vsig2,-22.00982334,3.53E-07
Cpq,-5.342687675,0.012846232
Nppa,-8.499265522,1.19E-06
Gm42913,-5.569109887,0.002641484
Gm21988,3.934485507,0.045965955
Tstd3,-4.758174377,0.048038685
Rcn1,-5.178343928,0.043310385
Tm2d1,4.842893891,0.029098696
Ifi208,5.221264314,0.040049051
Mrrf,-23.8293649,1.34E-09
Pfdn4,4.671554164,0.041783108
Gm17450,-5.174834655,0.006250055
Zfp867,6.371481901,0.003012118
Enho,-6.088262866,0.013547689
Gpnmb,5.988461814,0.018456352
Cpped1,20.68439076,4.29E-06
Mir568,-10.18842222,0.005594011
Gm48153,5.873107539,0.026626956
Gm42944,5.345393106,0.04044717
Gm5674,10.68368315,3.86E-08
Gm7299,7.15205978,0.000342086
Hax1,-4.122142191,0.035739987
Gm43409,-6.020245496,0.007324005
Gm42535,4.650767031,0.045965955
Lsg1,5.092287451,0.013644103
Gm49194,4.662267011,0.016355471
Eif5al3-ps,-4.730932668,0.004691891
Rps29,-7.129830519,0.001091808
Smarca5,5.312693873,0.010248463
Sec61a2,5.62139677,0.025576278
Gm6756,-4.274505996,0.045689739
A030012G06Rik,-4.731098226,0.021739437
Naca,5.05574815,0.027828393
Gm8182,-7.909236374,0.000129705
Gm17831,6.644234006,0.003258401
Traf6,6.091375612,0.019331581
Ifnab,7.342862648,6.05E-05
Rpl31-ps12,-4.301251487,0.026936812
Odf2l,-5.000379311,0.012729109
Gm43681,6.024355335,0.013644103
Gm10226,-6.171245145,0.012394215
Diaph1,-4.267478613,0.02408655
Ap1g1,5.160399295,0.001697236
Gm43471,5.800162509,0.010248463
B430219N15Rik,35.97645257,2.15E-16
Emc8,-4.377785055,0.022136279
Aamp,-5.363051165,0.046256337
Tasor2,4.807366389,0.016113423
Gm15968,-6.163544149,0.000791921
Nphp3,6.618583832,0.003258401
Gm10290,-5.420907477,0.017421692
Gm21893,-7.061492388,0.001033956
Polr3gl,-23.30950892,7.98E-07
Gm42614,7.108741708,0.001454903
Alpk2,5.094771336,0.028585474
Myc,5.038252494,0.011491959
1010001N08Rik,33.32019864,3.17E-14
4931414P19Rik,-6.879930868,0.000866324
Gm45311,5.472835414,0.04793121
Ldb1,-6.422039795,0.014086187
Mir6898,-21.45194004,4.06E-07
Gm26397,5.762986306,0.003057227
Tspo,-4.836017619,0.044259835
Ip6k2,-25.00897697,7.70E-08
Gm16379,-5.920329564,0.004240832
Cda,4.52340097,0.02998937
Cacul1,-6.269443745,0.006031219
Smim10l1,5.527976856,0.021273976
Mir1949,34.44494611,4.13E-15
Ndufs5,-5.294812141,0.005788439
Cox17,4.771507702,0.013644103
Mfsd8,5.415606437,0.047419937
Gm19880,5.203624387,0.029617981
Gm37923,7.465566233,0.003543629
Cul9,7.146837159,0.041783108
Ckm,5.305066604,0.041598913
Ppia,-4.559191737,0.0394005
Lin37,6.612838953,0.00461639
Sumf2,-22.35919435,2.13E-06
Dcaf1,13.67233383,0.027878532
Cwc15,-4.532146137,0.022696852
Vmn1r2,6.001628253,0.003012118
Bcs1l,6.320239482,0.00856101
9130221H12Rik,-10.63204093,0.04786909
Gm45242,-15.40129175,0.008483934
Lrriq3,-9.143255263,9.85E-06
Gm47310,-6.659808458,0.000184327
Gm43343,-4.55262228,0.016070805
Gm43285,-5.846131551,0.002880516
Gm24867,-4.476431792,0.033734161
Gm24865,-6.140452894,0.020227406
Zmat5,-28.98067405,1.36E-13
Guk1,-28.29484762,4.45E-10
Dhx30,5.298747182,0.036556436
Gm10233,-7.775765681,9.10E-05
Gm21034,5.780810109,0.020375942
Mybbp1a,6.320296758,0.002347819
Upk3b,-6.717009995,0.006264773
Gm49733,-35.38861589,7.19E-16
Frmd4b,33.80923452,1.36E-14
Gm26532,16.92381387,8.22E-06
Gm45522,-8.023940029,1.44E-05
Krtcap2,5.49623835,0.043966335
B230207O21Rik,22.5978269,1.19E-07
Gm9959,5.85915184,0.007324005
Slc25a1,10.32857216,0.003767846
Gm7899,4.386753406,0.024634391
Nck1,-5.387566506,0.023282119
Gm48014,-7.021962964,0.000926647
Ube2i,-5.949489841,0.004591772
Ube2k,-6.941257366,0.003311706
Sbf2,-22.33462482,2.96E-06
Fars2,4.911958437,0.022377103
Cracr2b,-25.89849096,2.05E-08
Rpl7a-ps3,-7.527857517,0.000253461
Csnk1d,-4.92115779,0.043188121
Mir7029,-5.617067549,0.008297786
Gm8994,7.481437257,0.000477602
Gm42658,-7.649538097,0.000136471
Rbbp8,-6.219833167,0.0031075
Ints3,6.691130002,0.001559553
Tiaf2,-4.356357629,0.027935069
Gm49477,6.820478548,0.001556845
Gm24572,11.10859236,0.000808091
Gm42514,-5.991657685,0.010303118
AC127331.2,-6.013229912,0.002641484
Mir22,33.55347937,9.39E-16
Gm25526,6.169531557,0.003910412
Gm15467,5.659800983,0.033678437
Gm6630,-5.594886736,0.010415731
Nploc4,-24.06086769,2.89E-07
Lars,4.654097231,0.030816568
Rpl36a-ps3,-5.239946129,0.028069017
Rpl24,4.309402289,0.021620285
Cst9,4.813433848,0.048082266
Nras,-32.07085237,4.13E-15
Ist1,-5.170057384,0.007420455
BC060293,-5.302665363,0.021979427
Hdgf,-5.69939987,0.010799025
Gm27026,5.793139248,0.020849887
Smg9,7.968106641,7.91E-08
Hsbp1,5.898927811,0.008887692
Gm13163,-5.196808394,0.029502391
Gm11805,6.292881644,0.004691891
Arid1a,-24.59507965,1.30E-07
Malat1,6.875794142,0.001349105
Zfp652,4.787933331,0.010415731
Rab6a,-14.57843579,0.015887431
Zfc3h1,-5.023930164,0.040049051
Htra2,31.27642801,3.74E-12
Gm16025,6.447256936,0.007420455
Gm16198,6.63413337,0.001349105
Gm7769,5.072506187,0.033347692
Gm16415,4.509314596,0.039091437
Hmg20b,-5.705665151,0.016909649
Gm28529,33.74850969,1.42E-14
Cnnm3,-6.100132188,0.002858669
Gm10180,-5.378370626,0.002218735
Fv1,-4.614775218,0.045432443
Sprtn,-4.46020212,0.001182887
Nadk2,-33.92342746,1.13E-14
E4f1,-26.0822404,1.57E-08
Gm8522,-8.367841209,0.000866324
Gm42734,6.066886049,0.002897702
Sox6,-7.948685315,1.24E-06
Orc4,-4.436940739,0.019627955
Mir133a-1,6.79921674,0.000234755
Mir365-1,6.605122054,0.002858669
Gm18642,6.61044707,0.001060786
Txlna,-7.351795775,0.000319445
Vcl,5.019644572,0.021979427
2610301B20Rik,6.388606953,0.00270022
Tut1,-26.96355181,4.03E-09
Gm26728,9.211203935,0.016537474
BC003965,-5.808249809,0.016281608
4833420G17Rik,5.222568421,0.041166396
Phkg1,-5.236435834,0.015269433
Tmem250-ps,5.943382322,0.000808091
Gm6621,5.385126185,0.010638835
Pnma1,5.315525044,0.020324191
Bcl2a1d,5.743970808,0.007911647
Olfr91,-3.992752139,0.039091437
Aqr,23.42512362,7.01E-07
Eif4g3,4.655508636,0.019480887
Gm42928,30.69959528,5.17E-12
Scarna2,4.414556014,0.037169359
Pgk1-rs7,4.79559262,0.033346374
Usp42,-3.781792672,0.028585474
Erc1,4.915841833,0.043445055
Smurf1,-5.501977542,0.018741348
AC158975.2,5.260870129,0.027187137
AC090881.3,4.215514805,0.005306062
Prmt6,6.168049022,0.026063989
Adck5,6.603320619,0.001876058
Sncg,-5.307298008,0.007420455
Gm18001,6.053844923,0.023134769
Msln,4.982865383,0.015825528
Wee1,-24.78249299,1.03E-07
Gm16102,-5.42877376,0.029502391
Gm10033,-5.494834175,0.027367619
Gm5415,6.216205115,0.009888977
Epb41,5.118151462,0.013627549
Ampd3,4.742213992,0.033678437
Gm5529,-5.140053082,0.048616504
Glmn,6.187089157,0.001016594
Gm26348,7.603320287,0.000137939
Gm9169,5.992659367,0.027935069
Cenpx,-17.64196843,0.000269333
Gm5523,6.872116273,0.003258401
