Gene,log2FoldChange,padj
Gm49746,-5.633109552,0.025411229
Smad6,-5.694170535,0.028328509
Atp6ap1,-10.46316602,0.000778448
Kbtbd13,-6.211067792,0.018306605
Akt2-ps,-6.342204725,0.01007664
Hist1h4b,-5.934348519,0.030671474
Hist1h4d,-7.345664457,0.00551376
Exosc10,6.141887874,0.027846185
AC131675.2,-4.63513505,0.006685958
A930028O11Rik,7.952229468,0.000456941
Gm21893,5.058535247,0.049500508
Gm5272,-6.717507575,0.006379323
Polr3gl,23.78595336,1.76E-06
Gm14915,-23.32281124,6.63E-08
Dpy30,-6.301855591,0.023604315
Gm37559,5.474633675,0.041181503
Gm18391,6.332861269,0.005277879
Gm14897,-10.45230771,0.026393144
2610002M06Rik,-8.686863467,0.04165978
Gm5828,-5.418608081,0.034208322
Gm7558,-5.956395602,0.030171968
Mmrn2,5.486530761,0.041307085
Cdk7,-5.469663584,0.019958976
4931414P19Rik,7.254304981,0.000582483
Ruvbl1,-6.617169236,0.001438964
Gm7928,-5.460170169,0.036048623
Snx33,-9.159608125,1.55E-05
Gm5384,-5.415681981,0.004911216
Ldb1,7.845404049,0.001687176
Maob,-5.425270496,0.024085655
Ube2g1,-5.339866348,0.030394945
Tlr7,-25.14826313,1.62E-07
Gm13875,-23.32403361,4.02E-06
Selenok,10.09596508,2.86E-08
Gm12218,4.830628766,0.017791935
Gm7232,-6.553198415,0.011137585
Gm10566,-8.144900326,0.00053273
Cd9,-5.981207766,0.004380032
Cda,-6.885835961,0.000274861
Emilin1,-5.008684553,0.04165978
Cacul1,6.335997129,0.007740234
AC133103.7,-22.24513074,7.01E-06
AC133103.3,-23.38469362,2.13E-06
Gm14788,-8.459259833,0.013190076
Coil,4.482099337,0.046171004
Gm13050,-6.098904817,0.002916105
Mir1943,5.657691011,0.003570636
Ndufs5,4.69816997,0.024928482
Ssr2,-5.301911931,0.038994872
Abcf1,-4.687953435,0.041591578
Tmem238,-6.038582413,0.018568504
Gm4959,-8.740101332,0.00033316
Stag1,-5.685049225,0.011358623
Asb7,-6.507526485,0.000881613
Mfsd8,-6.111421142,0.021400107
Gm49348,-6.704017702,0.002461681
Hba-a2,-33.89016914,1.89E-13
Fig4,6.203659673,0.008740163
Gm29041,-5.668737426,0.032199007
Crybb3,-5.301046772,0.038135478
Plxna1,-22.70853609,5.35E-07
Eef1e1,4.577936058,0.018097238
Gm49066,6.067237967,0.00452144
Tm6sf1,4.646648118,0.015474169
Gm18210,-5.790148754,0.008740163
Sh2d3c,-5.188654282,0.015585502
Gm7199,-21.90314612,1.15E-05
D930036K23Rik,-4.727378571,0.042523335
C3,5.119108017,0.016095226
Vmn1r2,-6.420741125,0.002507664
Gm38340,-6.686218766,0.01170787
Gm1866,-8.760004791,0.022629057
Bcs1l,-6.417806098,0.010566032
Hopx,-6.898161911,0.001736364
Mau2,6.279417307,0.003980155
AK157302,-6.298508529,0.011726792
Gm45242,22.98504655,4.62E-06
Gm15007,-10.55359159,0.029953866
Ccnb2-ps,5.298030306,0.030394945
Rpl3l,6.877472642,0.00165164
Lrriq3,7.903957465,0.000529928
Gm8606,-21.44306172,5.52E-06
Gm43343,4.719184334,0.014539369
Gm17136,-8.924616277,8.06E-05
Gm43285,6.988586599,0.000235875
Agbl5,-4.57363873,0.034725462
Ccser2,6.180509815,0.009582763
Stard8,-24.24061657,1.59E-15
Stard3,-17.45810986,0.002050358
Mrgprh,-5.286183183,0.035178005
Vps13d,-23.94855879,1.89E-06
Etfa,-4.647975226,0.046171004
Zmat5,28.32260374,2.56E-11
Gm3531,-5.610336302,0.034011212
A730013G03Rik,-6.237864492,0.013002916
Gm10232,-4.955600765,0.035500032
Gm14769,-25.42227001,1.29E-18
Gm14762,-9.305940595,0.008363074
Rpl27-ps3,-5.230829185,0.014155615
Tra2a,-6.803242067,0.000146237
Amd-ps6,4.944190072,0.040166548
Ajm1,4.799339494,0.042240439
Nono,-23.95409344,1.89E-06
Gm49733,27.3548742,2.69E-08
5830462I19Rik,-32.39396785,2.69E-11
Gm47525,-5.899647576,0.007089267
Morc2b,5.190234741,0.008924684
Fam133b,-6.293251688,0.02242536
Bms1,8.075868972,0.000733018
Cdc42bpb,5.241683801,0.030394945
Nsd2,-7.758387365,0.002687526
Glrx5,-6.55113196,0.000268534
Edem1,-6.646287104,0.000456379
Clstn3,-7.067429316,0.002192374
1700120K04Rik,-4.248234458,0.039356742
Lrrc47,-5.559992155,0.018731062
Cbx1,4.942968445,0.030087247
Gm13998,6.421040703,0.003511193
Gm10193,5.330249877,0.016293129
Ddx3y,-33.44506316,3.48E-12
Pygo1,-5.049362777,0.014539369
Gm16165,-5.344757522,0.016341964
Uhrf2,-5.810675473,0.019089147
Thap3,-4.896514934,0.02242536
Ndnf,-5.598090334,0.014955823
Gm45522,5.524791205,0.014840002
Gm48934,-8.520364189,0.000300598
Ifitm3,5.523372026,0.017567633
Armcx3,-20.29887409,4.75E-11
Armcx2,-23.59019325,2.11E-09
Gtf2ird2,-5.38459897,0.024849859
Gm6451,-24.51110078,9.36E-07
Bub1b,4.836785274,0.026980935
Gm13864,-5.65300871,0.003198238
Gm13861,-6.650291185,0.001325755
Gm13862,-5.55813843,0.005277879
Gm49244,-6.130245602,0.022754887
Magt1,-23.45705411,5.53E-09
Ube2k,7.536462244,0.001626336
Lcmt1,-5.068231546,0.01472626
Gm26444,-5.64723205,0.022598221
Ulk3,-5.008639493,0.014539369
Foxo4,-23.37639852,2.99E-12
Ifitm6,5.925708765,0.013349619
Gm8814,-26.3111185,7.94E-08
Gm19052,5.980494605,0.013530639
Rpl7a-ps3,8.931484346,9.41E-06
Phex,-19.07931966,0.00013802
Mir7029,5.541012456,0.013255908
Gm8464,-21.91391116,1.84E-05
Gm42658,6.652892787,0.002998749
Rbbp8,6.712987292,0.001694574
Rbbp7,-25.89452206,1.79E-07
Ints5,5.824500243,0.011559354
Tiaf2,5.164456448,0.007028138
Gm14896,-25.09408737,8.05E-10
AC169509.1,-5.993352793,0.031619208
CR974586.1,-20.2551829,5.36E-05
Gm7331,-16.37586243,0.002100196
Mapre2,-6.816257407,0.002606874
5430431A17Rik,5.253725316,0.036363056
Gm17477,4.625392116,0.019803332
Rprl2,-6.435385989,0.02171117
Rtl5,-22.07639799,4.91E-08
Gm8706,-7.323594686,9.33E-05
Ccrl2,-5.151752077,0.044766801
Coq10a,13.85250257,0.022266115
Mir338,-4.919014218,0.031655733
Snx7,-6.161311736,0.008556703
Gm9785,-20.25052462,6.90E-11
Gm44083,-5.47439103,0.012569991
Rpl22,-6.853485176,0.001141583
Atp7a,-23.6655243,1.78E-09
Rassf8,9.918864721,0.027440792
Nras,32.99229664,6.00E-14
Ist1,7.591455889,1.27E-05
Cyba,-5.813504293,0.029535522
Arpc3,4.872458991,0.045183761
Gm9115,-25.95918639,6.96E-10
Bdh1,-6.353944849,0.011683923
Gm11809,-6.024418729,0.021110975
Vps26b,5.731915377,0.008238136
Wdr91,-6.977173537,0.00343742
Arid1a,14.95959744,0.015736241
Ranbp2-ps4,-5.060132085,0.040325552
Ranbp2-ps8,-6.22296645,0.005921491
Clpx,5.118115715,0.041700055
Gm14794,-9.987155425,0.001618239
Saraf,5.970554413,0.000364578
Rhoay-ps1,-25.93014345,1.72E-07
Ogt,-24.06540229,7.46E-09
Rbm20,-5.302076331,0.014539369
Mybphl,-5.198935354,0.049882518
Gm13777,-7.907414998,0.001395941
Plec,21.98139236,4.17E-07
Gm9877,-5.436259278,0.01334017
Il18bp,-5.558516319,0.041902721
Gm9200,-21.95767947,2.40E-10
Ak4,4.994904306,0.021138417
Pabpc1l2b-ps,-25.73834477,1.38E-09
Rab6a,23.97064872,1.39E-06
Gm4760,-22.40841286,7.99E-12
Gm16198,-5.5559992,0.017165277
Gm29460,-8.263493075,9.69E-05
Gm29462,-6.027145048,0.035706163
Gm20100,4.886819563,0.022615662
Gm16412,-7.037390618,0.042136247
Gm16410,-8.813004621,0.038994872
Strip1,4.995210334,0.04431003
Gm14970,-22.85727604,2.64E-08
Pip4k2a,-5.540340055,0.035467651
Cnnm3,4.792100036,0.04165978
Kdm5d,-21.55452221,1.24E-05
Traj49,-6.037053319,0.011431379
Dbf4,-3.492268204,0.043340901
Myorg,-7.942954303,0.000102112
Gm10180,5.069512971,0.006986022
Gm47205,10.74691685,0.036532788
Gm7530,-4.637105822,0.038434185
Lins1,-4.837972903,0.024233192
Gm10029,-4.692061248,0.022603128
Bri3,-6.997352417,0.000204992
Gm5400,-7.801010244,0.032210341
Gm5403,-23.46707937,1.45E-12
Gm8974,5.662131121,0.014840002
Sprtn,5.267970143,9.68E-05
Akr1b3,-5.594069592,0.013903154
Nadk2,31.81049361,2.69E-11
Tubgcp3,-23.12514555,1.53E-06
E4f1,25.79780179,1.56E-07
Hspe1-rs1,6.465881901,0.005921491
Gm8522,6.601683399,0.021065267
Rnmt,-5.505122164,0.013190076
Sox7,-6.044273995,0.004395489
Txlna,6.194482622,0.007576077
Slc26a2,-6.518805505,0.002507355
Gm48325,6.060790147,0.013190076
Mir3112,-24.25784744,1.57E-08
Gm37581,6.128467928,0.011144873
Gm48690,-5.409147798,0.01723712
Arhgef9,-12.20105615,4.77E-05
Gm11363,5.423836502,0.004916068
Gpr68,-5.316248643,0.035207867
9530056K15Rik,-7.412688057,0.002039634
Gm45909,-4.875047144,0.042263136
Gm44224,4.701586645,0.033213103
Gtf2f2,-5.894465598,0.014915105
Gspt2,-9.24077572,0.009045404
Tmem250-ps,-4.698658577,0.021110975
Srek1,-5.045039796,0.048176981
Mturn,-6.405472194,0.00180514
Gm6621,-5.113262681,0.02242536
Gm11907,-5.192405876,0.01026986
Gm16209,5.589864282,0.019738173
Gm17150,-5.909025147,0.019598119
E130317F20Rik,-5.083131613,0.049612761
Upf3a,-5.440232251,0.025258231
Eif4g3,-4.340739837,0.040221823
Eif4g1,-5.972101808,0.005893213
Gm9109,-8.774334167,0.038854492
Rnls,-4.941795971,0.018250378
Gm15013,-25.31506425,1.03E-10
Dhx16,-5.826941608,0.000982715
Apba3,6.993039081,0.005537495
Crtc3,-4.839800523,0.004192885
Psen2,-7.235368623,0.001830781
Gm6035,-5.14501066,0.021525636
Psmb6,-6.565470606,0.004292424
Zfp422,4.691825823,0.01170787
Smurf1,6.189394512,0.007595426
Morf4l1-ps1,4.57389535,0.036616385
Arf2,-24.98123636,5.34E-07
Idh3a,5.303292927,0.031982
Gm16373,-10.45225334,0.039356742
Gm14784,-9.986830805,0.001694574
Gm14783,-27.14525655,7.91E-16
Gm8049,5.778467086,0.015908601
Gm8047,6.499336209,0.00551376
Rab33b,7.465116701,0.000565121
Gm9354,-6.168760484,0.04165978
Scamp3,-8.730879845,0.000526891
Gm31881,-6.005706265,0.023604315
Bet1,-6.124582402,0.002833245
Ercc8,5.430813637,0.039080441
Gm7451,-5.246285867,0.040182525
Efnb1,-26.40093879,9.29E-22
Agap3,4.788383336,0.043039433
Gm5874,-7.683425414,0.00031753
Casd1,-5.583960007,0.025258231
Fam129c,-5.30225982,0.011121877
Gm25189,-7.60638003,0.000496769
A030005K14Rik,-10.72887186,3.40E-06
Cenpk,-7.939444352,0.001375933
Gm12502,5.721949497,0.020602494
Smc1a,-25.80917499,2.00E-07
Gm13168,-4.9539353,0.018267284
Gm37832,-10.35470415,6.92E-07
Acad11,-6.431100231,0.01888833
Gm5415,-5.238520108,0.047463701
Plbd1,-5.571228304,0.039865001
Gm7485,-22.81508315,4.81E-07
Twsg1,-6.435922563,0.008995668
Gm8534,-23.42591139,2.36E-06
Cyp4b1-ps2,-7.234277336,0.002969302
Gm22421,-4.968026187,0.014304825
Fkbp10,-39.60871833,8.94E-25
Gm6472,-22.98271951,5.99E-06
6430573P05Rik,-5.281216031,0.038890775
Gm5686,-5.504891125,0.006774047
Cenpx,22.11488115,2.21E-06
Mettl17,-6.186969925,0.010566032
Mettl14,-5.726872985,0.002209544
