Gene,log2FoldChange,padj
Bcr,5.824757104,0.016286718
Tmed3,5.471018425,0.032147144
Akr1a1,5.791337555,0.01721382
Gm12321,4.621321522,0.013119486
Gm43012,6.39814537,0.022742269
Usp32,18.69829287,0.001313733
Mrps26,5.40674814,0.042296269
Gm7241,4.393227604,0.029645684
Gm49284,5.950125142,0.007937174
Gm12163,9.267657038,2.33E-05
Mis12,5.693901979,0.030249135
Palmd,8.044016645,0.003142602
Katna1,5.591179604,0.003728755
Mmgt2,6.417008555,0.00093161
Gm37125,-5.405099227,0.017513401
Gm4405,5.657232156,0.021718648
Hypk,25.18681797,4.00E-06
BC085271,6.214895397,0.00302069
Pgam5,22.69132554,6.05E-06
Ogdhl,6.155920395,0.0126085
Anapc5,8.630790393,7.43E-05
Ddo,-8.186326983,0.000260296
Gm2223,-6.180467136,0.007106678
Cpne3,5.956907804,0.026686323
Pak4,4.911992499,0.016322056
4833412K13Rik,5.054602222,0.04846219
Gm15422,-5.233370641,0.02685249
Map6,5.623476981,0.014824434
Cpxm1,6.950183951,0.011264314
Pnpla6,5.75796883,0.03338059
4930518I15Rik,-5.002627211,0.038940031
Ddit3,19.8919749,0.000453321
Proser2,6.084916699,0.010497883
Guf1,7.196914391,0.017513401
Spin3-ps,5.824766675,0.017312188
Gm14388,4.956374032,0.032328705
Gm37303,5.232141132,0.032445787
Ppp1r37,6.182938125,0.029263097
Gm14414,-10.25043882,3.01E-05
Cltc,23.24350112,1.86E-05
Cltb,-6.184766989,0.013023453
Gm29739,-7.642788016,0.000109498
Parp16,-6.482753002,0.019293482
Polr3a,16.39912411,0.008119359
Glt8d1,8.232308816,0.000740003
Srrd,22.85498105,2.73E-05
Aga,8.234560164,0.000399004
Oplah,22.59835537,3.31E-05
Smim15,5.100639033,0.039881038
Gm27529,20.62661372,7.82E-09
Gm42855,7.923053319,0.000190577
Gm49925,-6.90128002,0.001894092
Mir7054,5.799347847,0.012416988
Gm6682,5.012265028,0.04417824
Samhd1,-5.995070861,0.003292056
Mal,-5.647349185,0.024058248
Hdac7,-10.0082659,0.016461499
Gm5191,6.331704162,0.019804534
Mark4,-24.42422956,6.05E-06
Ctdspl2,-6.091372637,0.018326291
Gm5844,5.630005233,0.017294919
Cdk2ap1,6.025318394,0.041840249
Dpy19l3,-6.031610182,0.005550778
2900076A07Rik,16.91228291,0.001601358
Mir7010,16.19362432,0.006193567
Camk2d,-5.33402287,0.020821624
Ube2nl,-5.880544862,0.032436637
Ddx21,-6.972139995,0.001344012
Gm37784,6.368380083,0.007291796
Gm18769,5.848780363,0.041747247
Gm8355,-7.089714057,0.007291796
Gm9762,-4.836629277,0.040706324
Cerk,-25.58096875,5.94E-08
Gm11997,-5.990215046,0.004828876
Cybc1,23.02215303,2.33E-05
Bak1,-24.05460545,7.45E-06
Lacc1,-5.791162019,0.0224081
Hs6st1,-8.657939345,3.01E-05
Gm10434,17.03208234,0.005171547
Gm24500,9.040618328,1.20E-05
Actr8,8.721432927,1.22E-05
Tsen15,7.063496779,0.012488143
Gm9409,5.782973333,0.028272425
Rpl7a-ps10,-6.687958931,0.001113427
Chmp1a,-4.988766009,0.043990933
Tnfaip8,-4.508016402,0.049118222
Hmgcl,5.333059835,0.015058364
Tax1bp3,-21.63039208,5.33E-05
Gm45224,5.807758768,0.046199522
Tslp,5.896306366,0.011209377
Sestd1,20.13424003,8.92E-06
Gm8177,-5.107837533,0.035558571
Gm9149,6.227384354,0.030382313
St7,-5.083413239,0.045812864
A930040O22Rik,-5.864839903,0.023468732
Gm47439,-5.405282938,0.03983021
Gm7700,-6.764021329,0.001576052
Gm47140,-6.462560911,0.014482351
Cluh,6.124045833,0.00808983
Hcfc1r1-ps1,-4.621170394,0.027511399
Tmbim1,-9.47690643,2.53E-05
Gm47261,6.101767403,0.019442553
B930094E09Rik,22.09986935,5.33E-05
Osmr,20.84613367,0.000181455
Gm47574,7.446410135,0.00226231
Gm18169,-4.991270949,0.005259898
Pak1ip1,-7.974597089,0.00026026
Grk3,16.57008342,0.007283016
Pole3,-6.044095569,0.021226911
Gm13123,-6.228865255,0.002598755
Gm26415,-9.529604612,0.006112465
Dpt,7.594876499,0.000541378
Gm10136,-5.358930686,0.043990933
Sec63,-5.325782019,0.035026408
Gm41780,7.382112904,0.001003316
Amd1,-7.463807417,0.000117875
Fam120aos,6.48693593,0.001504658
Gm6434,6.102811372,0.022599278
Myct1,4.355580958,0.019289025
Gm6658,6.554292044,0.002653481
Ank1,20.40739896,0.000269361
Ttc39d,5.696327542,0.002481875
Tnfrsf4,-5.687302486,0.004949704
Pprc1,23.85393103,9.71E-06
Lonp2,6.911043719,0.001296702
Itga6,5.262872427,0.02164949
Gm6723,6.786855821,0.002711874
Ghdc,-24.30945493,6.05E-06
Gm10443,5.939543907,0.023085157
Rubcn,5.853915444,0.019251595
Gng8,6.760028991,0.0098074
Pam,-25.0594296,3.64E-06
Gm7129,-5.897801233,0.009616425
Dtd1,5.940668556,0.029897504
Dtd2,-6.820207691,0.008119359
Aspn,6.056352247,0.023468732
Bag1,6.858497603,0.002693893
Psmc1,6.142748289,0.006938407
Nucb2,6.267377893,0.018114589
Gm43441,5.859281699,0.017895574
Dhdds,5.992721063,0.013119486
Mipol1,6.758912361,0.027493343
Rsad1,4.743584219,0.040791904
Zfp706,5.114441591,0.006650637
Dcun1d5,7.021825273,0.002542935
Gm17324,20.82399668,1.44E-06
Gm6343,5.755943942,0.013476586
Gm6341,-6.286546162,0.001661284
Gm7634,7.376686809,0.007291796
Gm7734,5.780307383,0.013589037
Lyplal1,5.60976856,0.022693489
Nr2c2ap,24.613653,6.05E-06
Scyl1,19.79235532,0.000499917
Gm47275,-17.34016636,0.004267512
Mkrn2,20.29708,1.44E-06
Mkln1,5.786433391,0.048529078
Gm10059,5.746431195,0.024871692
Gm2272,-6.887993419,0.000170549
Gm4705,5.078742443,0.032707879
Grcc10,8.801642995,4.26E-05
Irs1,-5.873686042,0.023283403
Gm42879,-5.374101674,0.034925523
Sik3,6.569261004,0.002319318
Gm7854,-7.63434698,0.00097274
Eif3m,4.636669577,0.041981601
Timm10b,-25.91338591,1.44E-06
Gm37860,7.381754923,0.00399915
Gm44341,4.976063272,0.028272425
Mir26b,-21.23953901,0.000100248
Gm12183,-7.108411617,0.003576185
D7Ertd443e,-6.662456902,0.003304483
Gm8425,-6.72927791,0.006865191
Gm6783,6.259673574,0.044071372
Gm8586,6.560345726,0.013795617
Gm42427,-6.555092622,0.001119053
Gm6426,4.443407553,0.032436637
Gm5995,-7.217522501,0.006193567
Gm43917,8.030230178,1.81E-05
Gm43286,6.312550388,0.009161673
Dhdh,5.394082457,0.040125757
Tnrc6a,-7.342293019,0.000399004
Rpusd3,5.161282101,0.03298798
Ppic,5.403443937,0.017280837
Gm9790,4.467194579,0.013627178
Pdia6,7.373819476,0.000673743
Gm42464,5.711255092,0.021416474
Vcp-rs,-8.63804959,0.015355981
Olfr1393,-4.424861764,0.027843154
Gm37412,-7.626253608,0.002481875
Phyhip,6.020278636,0.007291796
Akt1,19.78207603,9.32E-06
4930448E22Rik,-5.651395195,0.016000286
Arhgef5,-6.001727387,0.012291252
Pdxk,5.249921239,0.036921643
Gm13731,-7.145094703,0.014777543
Gm9167,6.140904012,0.010061692
Gm9162,5.35196794,0.036130035
Izumo4,20.66770106,0.000217179
Lactb2,5.038330709,0.023468732
Gm20147,6.723817295,0.013119486
Pdk2,4.836445494,0.022684543
Gm15393,5.019774441,0.041890103
Pcgf5,-25.34360229,2.60E-06
Slc16a10,-5.040161194,0.028272425
Snap23,5.906586296,0.021980906
Tspan9,19.94048587,0.000433361
Gm4691,6.902877706,0.007455798
Fbxw5,7.522309217,0.000643396
Tti2,10.31333186,0.012348875
Gm48909,-5.154141298,0.013023453
Wnk1,-5.03502889,0.041981601
Dcaf12l1,-5.520904969,0.043669174
1700030I03Rik,7.354192685,0.001979003
Gm16485,-6.520037496,0.021444587
Rhot2,-22.41030782,3.29E-05
Chst12,-7.528376487,0.000727754
Rpl39-ps,6.76664343,0.002141207
Tpi-rs10,6.121773506,0.013746365
Gm13910,8.369858179,0.000717115
Depdc5,5.548121037,0.027258881
Rsc1a1,7.040597348,0.004168364
Csnk2b,5.931566879,0.036716276
Srpk2,-25.84429354,1.46E-06
Eno2,9.389714529,0.000227581
Dmac2l,21.39333889,1.78E-05
1810049J17Rik,20.78909386,6.81E-05
Alkbh4,-5.418958677,0.021225404
Zfp57,5.463069989,0.021718648
Rpia,5.183807428,0.035558571
Gm14176,6.183281765,0.010061692
4930403P22Rik,-5.739632044,0.022599278
Gm12303,-5.878325838,0.028358509
Gm8250,5.671320518,0.00372377
Mir186,-6.42891563,0.008774071
Llph-ps1,4.781727837,0.028405322
Rps17,4.781448194,0.024551187
Dab2ip,5.836261086,0.010901056
Phykpl,21.23046499,7.43E-05
Gm11255,5.412287761,0.045823228
Gm4841,6.274640358,0.022693489
Dnajc27,6.515227825,0.001818242
Nosip,16.02527889,0.010576889
Gm48781,5.749977899,0.010318344
Gm48783,5.647304776,0.024713197
Dync1li1,5.930117616,0.023283403
Cxcl2,-7.383060894,0.005381022
Insr,5.138386005,0.007937174
Map3k4,22.14441443,8.57E-13
8430432A02Rik,5.778889743,0.038534245
Rhno1,6.026128733,0.023473961
Mcm7,22.2065846,3.51E-11
Gm38080,-5.32585876,0.041664665
Gm38082,6.079002968,0.026192278
Entpd5,-4.913504223,0.034925523
Gm17968,7.035210719,0.003142602
Gm18827,-5.464217156,0.028060404
Arrdc2,-22.7069618,2.57E-05
Stx16,6.100783558,0.014693751
Ndufv1,6.578067676,0.000871031
Kcnh2,-24.14231138,6.83E-06
Spa17,5.687467809,0.012538964
Rpl7a,5.299789229,0.018400024
Siah2,-6.790028148,0.012488143
Lyve1,7.112310389,0.004168364
Asf1a,6.052279244,0.000673743
Terf2,4.959907447,0.037145169
Gm6361,6.153221284,0.010061692
Mospd1,-6.450680406,0.010497883
Snrpg,9.245628216,2.93E-05
Gm49954,7.156069071,0.003576185
Gm5267,-6.051885665,0.032436637
1110006O24Rik,6.218040081,0.025060002
Gm30708,7.009122884,0.003789433
Sf3b3,-8.227311457,4.12E-05
Piezo1,-24.16612794,6.83E-06
Rad9b,-5.611522721,0.002141207
Eif2ak1,-10.37379187,0.012992265
Tbkbp1,-4.268528981,0.03009674
Fam214a,4.974949456,0.019691395
Gm12208,5.309454553,0.03338059
Pfdn4,-4.982203389,0.041981601
Gm37881,6.215863934,0.031586792
Gm28453,6.243420747,0.010473266
Dbn1,5.570085621,0.031356439
Gm11473,-5.441495571,0.01987406
Gm43361,23.97778067,9.32E-06
Gm45758,6.310306537,0.016286718
Cttnbp2,6.307615483,0.006107758
Gm13450,6.622743392,0.00011768
Cpped1,-20.22221567,7.43E-05
Gm4940,7.291124486,0.007937174
Gpr39,5.557235141,0.02146864
Tmem216,21.96850675,5.87E-05
Tubb5,6.404712569,0.00128832
Gm5674,-8.003347416,0.000751439
Gm42531,7.904113347,0.002717461
1700019A23Rik,5.592439029,0.032436637
Crip1,5.30637578,0.027394805
Gm43655,4.975060662,0.043047896
Rab11b,5.87452571,0.009271895
Gm11248,-5.888541527,0.020354039
Car11,6.386459541,0.002398706
Itgb5,20.65471989,0.00021775
Pcmtd1,20.56821786,0.000234138
Spsb2,6.780632754,0.007673282
Phf10,5.344401611,0.040056596
Gm24916,4.592322847,0.043990933
Flcn,-5.876271403,0.010201892
Ankrd9,5.191784603,0.036405688
Gm17831,-6.256275359,0.016000286
Traf2,-6.141433541,0.003341648
Traf6,-7.707659765,0.003142602
Gm43681,-6.088894256,0.023283403
Gnb3,7.603030216,0.003211761
Rrp7a,19.32347924,0.000740003
Gm17366,4.937941488,0.032832583
Gm7177,5.097291725,0.049841152
Gm26704,8.627490725,6.05E-06
Gsk3b,5.404940154,0.031694344
Gm37045,8.763190893,0.001576052
Trir,7.529101369,0.000717115
Gm25654,-5.648434071,0.035245155
Gpr107,6.071506183,0.011959728
Ap1g1,-5.011933328,0.007344181
Gm14037,6.182782477,0.034686849
Prxl2a,-5.862274625,0.005278926
Gm6204,6.360410454,0.021163041
Gm48882,5.298041875,0.013220621
Alyref2,8.329491249,0.000183443
Gm45311,-8.831331441,0.000359489
Arhgap1,16.6443359,0.006865191
Ift22,-5.079027032,0.029001483
Ppp1r12a,7.251154505,0.00898562
Selenok,6.305538826,0.011523504
Tle6,5.44317871,0.020383526
Ercc6,-5.347019076,0.019677547
Gm10566,6.43321147,0.017347105
Gm24339,5.345628171,0.032436637
C2cd2,7.174050129,0.002142908
Ppt1,19.58410717,0.000133098
Gm13369,5.940411081,0.008467236
Ssr3,6.32167712,0.019429111
Mapkapk3,-5.587290205,0.027271449
Hba-a2,22.21699449,2.33E-05
Gm5605,6.804727546,0.002481875
Rock1,18.89605131,0.001113427
Rpl37a,5.154415935,0.018326291
Gm19880,-7.14873341,0.002040237
Gm37923,-7.309266741,0.011457945
Gm24694,5.414917991,0.030022343
Tm6sf1,6.011211491,0.002141207
Gnl3,6.695484593,0.017643168
Gnl2,6.488751097,0.022454437
Gm7192,6.368315105,0.022280066
Dcaf1,-21.22687858,0.000100248
Vmn1r2,-6.98194213,0.000979336
Fkrp,22.07843131,5.33E-05
Hopx,6.867377525,0.002542935
Gm43343,6.490618909,0.000455304
Gm10482,6.089589697,0.002693893
Trmt112-ps1,5.654009632,0.019293482
Stard9,6.840343438,0.002693893
Gm43420,7.874374757,0.00071258
Bop1,-6.538768957,0.00537203
Zmat5,21.26114218,9.67E-06
Dhx30,-6.041170343,0.021930752
Gm6012,6.579125204,0.002693893
Gm45331,-6.414552571,0.011896555
Ppp2r5e,-6.07374787,0.015203976
Psmg4,-5.361563341,0.041691667
Amd-ps3,6.882097541,0.010061692
Rgs6,7.015935218,0.000717115
1700008B11Rik,6.121822939,0.006602558
Mybbp1a,-5.928234718,0.013021031
Gm49733,24.23404149,7.70E-06
5830462I19Rik,24.82843167,5.68E-06
Fbxo4,19.16837677,4.65E-05
4933425M03Rik,6.696854906,0.000237477
Gm5322,-6.583790464,0.006193567
Wdr33,-5.412789549,0.032174889
Vps35l,22.33485151,4.26E-05
Mri1,-5.516730379,0.032352492
Tma7-ps,6.376733708,0.033314455
Ddx3y,21.31561935,0.000111572
Rps2-ps9,5.418815275,0.036775425
Gm7541,4.901837562,0.032278136
Gm5626,6.618643999,0.012992265
Gm44415,5.171877955,0.031152047
Gm26532,-23.73947407,8.94E-10
B230207O21Rik,-22.49513978,5.68E-06
Mlxip,-7.086168096,0.001413841
Ppp1r15b,-4.453057669,0.013553834
Ptbp1,6.052839903,0.0195325
Gm4673,6.676474989,0.013220621
Fars2,-4.964211188,0.036405688
Cracr2b,23.93218521,9.32E-06
Gm7591,6.644208286,0.02685249
Gm48849,6.202011139,0.030376533
Gm9731,9.093432281,7.43E-05
Gm8463,-5.527249011,0.036529893
Gm42658,5.317919621,0.039095727
Ap4b1,6.203827406,0.012538964
Dynll2,-5.491335256,0.047182653
Gm38379,-5.079666208,0.032147144
Aldoa-ps4,7.067792973,0.002693893
Crot,5.952775009,0.017513401
Zfp219,6.40956645,0.006193567
Gm37160,5.788558748,0.03338059
Tbcel,6.872206635,0.00240555
Ldha-ps2,-4.685197167,0.035622407
Stim1,5.336837908,0.041747247
V1ra8,5.037138182,0.014795231
Gm15466,5.657428749,0.012416988
Nras,20.49072521,5.75E-05
Cyba,-7.0579196,0.006031435
Chfr,20.54229116,0.000237477
Arpc3,5.794295101,0.019251595
Arpc5,7.100656546,0.009757345
Gm7690,-7.129903275,0.001511765
Gm11805,-7.121435803,0.002481875
Gm10209,6.116811118,0.013023453
Gm16307,4.787707386,0.032147144
Dgkz,-5.840269618,0.032147144
Ogn,7.036934979,0.0224081
Plec,-22.93434827,1.44E-06
Gm9877,4.980285002,0.042917205
Zfp655,7.635060739,0.009321098
Gm14052,6.574677986,0.003750169
AC115783.1,-6.010382399,0.010318132
Bckdk,-5.989399115,0.006107758
Gm49966,-5.83649939,0.013220621
Gm16415,-4.784496067,0.041176654
Gm14480,-6.643286044,0.008774071
Gm5801,-5.564864912,0.016277485
Sh3bgr,4.675924674,0.040288618
Ppil2,4.687222694,0.022599278
Nadk2,22.79625023,2.84E-05
Hdc,-5.683331313,0.017861619
Obox4-ps1,6.649930817,0.001781646
Obox4-ps2,-5.781168339,0.018326291
Gm7908,-5.049122469,0.032147144
Dnajc12,5.557141755,0.032445787
Rgl3,11.8338642,0.013490195
Mycbp2,-5.964728026,0.015058364
Gm49255,5.070603163,0.037390906
Gm43834,-5.523544479,0.03690016
Gm5537,-6.61066773,0.022684543
Mir133a-1,-5.415974288,0.018150282
Mir365-1,-6.682744056,0.006865191
U2af2,5.467557507,0.006355899
Vcl,-5.933493684,0.008774071
Gm23251,6.315977819,0.001936959
Tut1,23.77483586,1.06E-05
Gm26728,-9.34901377,0.024713197
Gm43602,-5.365952136,0.035222569
Mturn,5.233093382,0.027258881
Crlf3,-5.519708171,0.008212553
Gm6621,-5.607125436,0.015143587
Dedd2,5.950725017,0.022280066
Gm16205,-5.75971442,0.04929767
Hint3,5.398932825,0.026788657
Aqr,-23.84840521,8.81E-06
Fam210a,22.29766765,4.34E-05
Crtc1,5.232237053,0.012992265
Rpl9-ps9,6.293729801,0.022454437
Rpl9-ps7,-5.835288042,0.02270352
Rps5,-5.207103887,0.037643457
AC090881.3,-3.886924515,0.025684215
Rfc5,17.83167216,0.00126401
Bckdha,-6.564626767,0.000670976
Gm8049,-5.385976566,0.041747247
Gm44663,-5.983692764,0.03009674
Gm45174,5.745112093,0.013083766
Gm18001,-9.562091335,9.09E-05
Gm19223,7.439297466,0.004418561
Gm12504,4.484350213,0.018730224
Psme2b,21.52895872,9.09E-05
Gm7529,6.096231606,0.03021957
Gm10033,8.021260237,0.00071258
Gm5415,-6.330734691,0.017096679
Mar-07,-5.567487173,0.036405688
Twsg1,-5.69300449,0.025917945
Fkbp10,20.30972006,6.83E-06
Glmn,-8.019613774,2.81E-05
Haspin,5.746579011,0.036921643
Leo1,19.37306831,0.000717115
Ctr9,6.066537186,0.033431977
Ube4b,-5.183179811,0.007632087
